model,position,rank_layers,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,n_dev
M2,prompt_end_minus_11,34-39,4,0.495042438271605,0.17538339500967354,0.5589007880379875,0.6590909090909091,0.5197009496868054,352
M3,prompt_end_minus_11,34-39,4,0.4780928497942387,0.16617934484180397,0.5403785276486832,0.6534090909090909,0.5078467030376508,352
M4,prompt_end_minus_11,34-39,4,0.4719942480359147,0.1659172264644379,0.5384252710985384,0.65625,0.5009429514380009,352
M1,prompt_end_minus_10,34-39,4,0.565201786382342,0.1343356888585721,0.5847645989088704,0.6022727272727273,0.5551289822859837,352
M2,prompt_end_minus_10,34-39,4,0.5623585390946503,0.11955989501083299,0.6327204148986327,0.5340909090909091,0.6010641880514582,352
M3,prompt_end_minus_10,34-39,4,0.5665801533857089,0.17741345511050868,0.6631642756112347,0.5539772727272727,0.5869535933185155,352
M4,prompt_end_minus_10,34-39,4,0.554019944818556,0.209983244007288,0.682427426416111,0.6051136363636364,0.6081026469993938,352
M1,prompt_end_minus_09,34-39,4,0.408394126449682,0.07704868995806438,0.420152219303563,0.45454545454545453,0.41799690173098947,352
M2,prompt_end_minus_09,34-39,4,0.6756248830901608,0.1411621127871919,0.557486360880986,0.6420454545454546,0.5269077928200984,352
M3,prompt_end_minus_09,34-39,4,0.6593884446315001,0.14919010591761164,0.5456321142318313,0.6335227272727273,0.5048494645382906,352
M4,prompt_end_minus_09,34-39,4,0.6628302702955481,0.14590118152234424,0.545025931164545,0.6392045454545454,0.5167037111874453,352
M1,prompt_end_minus_08,34-39,4,0.4996095211372989,0.154734424812636,0.43719269886172296,0.5539772727272727,0.49286051054085,352
M2,prompt_end_minus_08,34-39,4,0.6012404133931911,0.09771657053162477,0.5840910621674412,0.6960227272727273,0.5753687613659325,352
M3,prompt_end_minus_08,34-39,4,0.5891963617658063,0.08700197626831416,0.5761433286185761,0.6875,0.5789721829325789,352
M4,prompt_end_minus_08,34-39,4,0.5897212869435091,0.0920198177668879,0.5756044992254327,0.6903409090909091,0.5806223479490806,352
M1,prompt_end_minus_07,34-39,4,0.5191621071829404,0.05423133733321115,0.3759682090658045,0.5,0.3759682090658045,352
M2,prompt_end_minus_07,34-39,4,0.5661125140291807,0.05394191472153108,0.561190812958847,0.6022727272727273,0.5636828989021352,352
M3,prompt_end_minus_07,34-39,4,0.558213500748223,0.04916124664356138,0.5275139758873846,0.5880681818181818,0.5297703239711726,352
M4,prompt_end_minus_07,34-39,4,0.5546191077441078,0.05676211829859675,0.5438135650299724,0.6136363636363636,0.5788374755842931,352
M1,prompt_end_minus_06,34-39,4,0.5704118733632623,0.06600659185534513,0.5263689634269549,0.5653409090909091,0.49946117060685663,352
M2,prompt_end_minus_06,34-39,4,0.7620265151515151,0.04277571201592927,0.7702566174984845,0.7585227272727273,0.7143193911227856,352
M3,prompt_end_minus_06,34-39,4,0.7728482744107745,0.032736013733371656,0.7720078130262005,0.7386363636363636,0.6856604027749713,352
M4,prompt_end_minus_06,34-39,4,0.7782541853722409,0.03861067697278439,0.7732875328349161,0.7329545454545454,0.6823600727419681,352
